;;;;;;;;;;;;;;;;
Tamanho;InsertionAleatorio;;InsertionOrdenado;;MergeAleatorio;;MergeOrdenado;;RatioInsertionAleatorio;;RatioInsertionOrdenado;;RatioMergeAleatorio;;RatioMergeOrdenado;
1000;1664;;8;;767;;679;;;;;;;;;
2000;6728;;16;;1549;;1326;;4,04;;2,00;;2,02;;1,95;
4000;25865;;33;;3158;;2742;;3,84;;2,06;;2,04;;2,07;
8000;102892;;67;;6505;;5577;;3,98;;2,03;;2,06;;2,03;
16000;436853;;137;;14212;;11678;;4,25;;2,04;;2,18;;2,09;
;;;;;;;;;;;;;;;;
;;;;;;;;;Tamanho;InsertionAleatorio;MergeAleatorio;;;;;
;;;;;;;;;1000;1664;767;;;;;
;;;;;;;;;2000;6728;1549;;;;;
;;;;;;;;;4000;25865;3158;;;;;
;;;;;;;;;8000;102892;6505;;;;;
;;;;;;;;;16000;436853;14212;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;Tamanho;InsertionOrdenado;MergeOrdenado;;;;;
;;;;;;;;;1000;8;679;;;;;
;;;;;;;;;2000;16;1326;;;;;
;;;;;;;;;4000;33;2742;;;;;
;;;;;;;;;8000;67;5577;;;;;
;;;;;;;;;16000;137;11678;;;;;
